,Date,Position,artist,song,woc
24,03/28/2019,25,LADY GAGA &amp; BRADLEY COOPER,SHALLOW,25
25,03/28/2019,26,LEWIS CAPALDI,GRACE,19
26,03/28/2019,27,A BOOGIE WIT DA HOODIE/6IX9INE,SWERVIN,12
27,03/28/2019,28,KEHLANI FT TY DOLLA SIGN,NIGHTS LIKE THIS,10
28,03/28/2019,29,GEORGE EZRA,SHOTGUN,52
29,03/28/2019,30,AVA MAX,SO AM I,2
30,03/28/2019,31,LITTLE MIX FT TY DOLLA SIGN,THINK ABOUT US,8
31,03/28/2019,32,J COLE,MIDDLE CHILD,8
32,03/28/2019,33,D-BLOCK EUROPE,KITCHEN KINGS,6
33,03/28/2019,34,RODDY RICCH/CHIP/YXNG BANE,HOW IT IS,3
34,03/28/2019,35,POST MALONE FT SWAE LEE,SUNFLOWER,22
35,03/28/2019,36,MARK RONSON FT MILEY CYRUS,NOTHING BREAKS LIKE A HEART,16
36,03/28/2019,37,PANIC AT THE DISCO,HIGH HOPES,36
37,03/28/2019,38,LIZZO,JUICE,6
38,03/28/2019,39,BILLIE EILISH,WISH YOU WERE GAY,3
39,03/28/2019,40,SWARMZ FT TION WAYNE,BALLY,9
40,03/28/2019,41,GEORGE EZRA,PRETTY SHINING PEOPLE,8
41,03/28/2019,42,BENNYBLANCO/GOMEZ/BALVIN/TAINY,I CAN'T GET ENOUGH,3
42,03/28/2019,43,CHAINSMOKERS FT 5 SECONDS OF,WHO DO YOU LOVE,6
43,03/28/2019,44,OCTAVIAN FT MICHAEL PHANTOM,BET,3
44,03/28/2019,45,ALEC BENJAMIN,LET ME DOWN SLOWLY,8
45,03/28/2019,46,TOM WALKER,LEAVE A LIGHT ON,51
46,03/28/2019,47,CAMELPHAT/CRISTOPH/JEM COOKE,BREATHE,11
47,03/28/2019,48,JESS GLYNNE,THURSDAY,23
48,03/28/2019,49,MARSHMELLO FT BASTILLE,HAPPIER,31
49,03/28/2019,50,JUICE WRLD,ROBBERY,5
50,03/28/2019,51,ARIANA GRANDE,THANK U NEXT,18
51,03/28/2019,52,GIGGS,BABY,4
52,03/28/2019,53,CALVIN HARRIS &amp; SAM SMITH,PROMISES,31
53,03/28/2019,54,HALSEY,WITHOUT ME,24
54,03/28/2019,55,LEWIS CAPALDI,BRUISES,7
55,03/28/2019,56,AJ TRACEY,PSYCH OUT,9
56,03/28/2019,57,BENNY BLANCO/HALSEY/KHALID,EASTSIDE,36
57,03/28/2019,58,MEDUZA FT GOODBOYS,PIECE OF YOUR HEART,1
58,03/28/2019,59,KHALID,MY BAD,2
59,03/28/2019,60,QUEEN,BOHEMIAN RHAPSODY,37
