,Date,Position,artist,song,woc
55,03/28/1986,56,DEE C. LEE,COME HELL OR WATERS HIGH,4
56,03/28/1986,57,EVELYN 'CHAMPAGNE' KING,HIGH HORSE,1
57,03/28/1986,58,KATE BUSH,HOUNDS OF LOVE,5
58,03/28/1986,59,JOHN TAYLOR,I DO WHAT I DO…THEME FOR '9 1/2 WEEKS',3
59,03/28/1986,60,ARETHA FRANKLIN,ANOTHER NIGHT,6
60,03/28/1986,61,JAMES BROWN,LIVING IN AMERICA,10
61,03/28/1986,62,MINT JULEPS,ONLY LOVE CAN BREAK YOUR HEART,4
62,03/28/1986,63,TALKING HEADS,AND SHE WAS,8
63,03/28/1986,64,BRILLIANT,LOVE IS WAR,4
64,03/28/1986,65,CAMEO,A GOODBYE,2
65,03/28/1986,66,MAXI PRIEST,STROLLIN' ON,1
66,03/28/1986,67,HEART,THESE DREAMS,2
67,03/28/1986,68,STEVIE NICKS,TALK TO ME,2
68,03/28/1986,69,CHRIS REA,IT'S ALL GONE,3
69,03/28/1986,70,LICK THE TINS,CAN'T HELP FALLING IN LOVE,2
70,03/28/1986,71,BALAAM AND THE ANGEL,SHE KNOWS,1
71,03/28/1986,72,SAXON,ROCK 'N' ROLL GYPSY,1
72,03/28/1986,73,RUBY TURNER,I'M IN LOVE,1
73,03/28/1986,74,52ND STREET,I CAN'T LET YOU GO,4
74,03/28/1986,75,GENE LOVES JEZEBEL,SWEETEST THING,1
75,03/28/1986,76,WALKERS,DON'T WASTE MY TIME,3
76,03/28/1986,77,JOE FAGIN,BACK WITH THE BOYS AGAIN/GET IT RIGHT,4
77,03/28/1986,78,SIMPLE MINDS,DON'T YOU (FORGET ABOUT ME),42
78,03/28/1986,79,GEMINI,JUST LIKE THAT,2
79,03/28/1986,80,SURVIVOR,I CAN'T HOLD BACK/BURNING HEART,12
80,03/28/1986,81,MR MISTER,BROKEN WINGS,15
81,03/28/1986,82,SHIRLEY MURDOCK,TRUTH OR DARE,2
82,03/28/1986,83,EARTHA KITT,THIS IS MY LIFE,2
83,03/28/1986,84,GRACE JONES,PULL UP TO THE BUMPER/LA VIE EN ROSE,10
84,03/28/1986,85,THEN JERICO,MUSCLE DEEP,1
85,03/28/1986,86,JULIAN LENNON,STICK AROUND,1
86,03/28/1986,87,STARSHIP,SARA,7
87,03/28/1986,88,FOX THE FOX,PRECIOUS LITTLE DIAMOND,4
88,03/28/1986,89,ISABEL ROBERTS,RHYTHM OF YOUR LOVE,4
89,03/28/1986,90,ERIC CLAPTON FEATURING MICHAEL KAMEN,EDGE OF DARKNESS FT MICHAEL KAMEN,9
90,03/28/1986,91,SIMON MAY ORCHESTRA,THE HOLIDAY SUITE,1
91,03/28/1986,92,MADE IN ENGLAND AND RAY DORSET,PROSPECTS,1
92,03/28/1986,93,CHAKK,IMAGINATION (WHO NEEDS A BETTER LIFE),2
93,03/28/1986,94,PSYCHIC TV AND THE ANGELS OF LIGHT,GODSTAR,1
94,03/28/1986,95,RUSS BROWN,GOTTA FIND A WAY,1
95,03/28/1986,96,JERMAINE JACKSON,I THINK IT'S LOVE,1
96,03/28/1986,97,LATIN QUARTER,MODERN TIMES,1
97,03/28/1986,98,DAMIAN,THE TIME WARP,1
98,03/28/1986,99,HALF MAN HALF BISCUIT,THE TRUMPTON RIOTS,4
99,03/28/1986,100,RYUICHI SAKAMOTO AND THOMAS DOLBY,FIELD WORK,3
0,03/28/1985,1,PHILIP BAILEY WITH PHIL COLLINS,EASY LOVER,4
1,03/28/1985,2,ALISON MOYET,THAT OLE DEVIL CALLED LOVE,3
2,03/28/1985,3,SARAH BRIGHTMAN AND PAUL MILES-KINGSTON,PIE JESU,2
3,03/28/1985,4,PAUL YOUNG,EVERY TIME YOU GO AWAY,4
4,03/28/1985,5,FRANKIE GOES TO HOLLYWOOD,WELCOME TO THE PLEASUREDOME,1
5,03/28/1985,6,JERMAINE JACKSON,DO WHAT YOU DO,8
6,03/28/1985,7,MADONNA,MATERIAL GIRL,5
7,03/28/1985,8,GO WEST,WE CLOSE OUR EYES,6
8,03/28/1985,9,STEPHEN 'TIN TIN' DUFFY,KISS ME,5
9,03/28/1985,10,NIK KERSHAW,WIDE BOY,3
10,03/28/1985,11,DAVID CASSIDY,THE LAST KISS,6
11,03/28/1985,12,DEAD OR ALIVE,YOU SPIN ME ROUND (LIKE A RECORD),20
12,03/28/1985,13,LOOSE ENDS,HANGIN' ON A STRING (CONTEMPLATING),6
13,03/28/1985,14,POWER STATION,SOME LIKE IT HOT,3
14,03/28/1985,15,BILLY BRAGG,BETWEEN THE WARS (EP),3
15,03/28/1985,16,TEARS FOR FEARS,EVERYBODY WANTS TO RULE THE WORLD,1
16,03/28/1985,17,THE COMMODORES,NIGHTSHIFT,10
17,03/28/1985,18,BRUCE SPRINGSTEEN,COVER ME,8
18,03/28/1985,19,PHYLLIS NELSON,MOVE CLOSER,8
19,03/28/1985,20,NEW EDITION,MR. TELEPHONE MAN,6
20,03/28/1985,21,BIG DADDY,DANCING IN THE DARK (EP),4
21,03/28/1985,22,SHEILA E,THE BELLE OF ST MARK,8
22,03/28/1985,23,GLENN FREY,THE HEAT IS ON,6
23,03/28/1985,24,DAVID GRANT AND JAKI GRAHAM,COULD IT BE I'M FALLING IN LOVE,2
24,03/28/1985,25,THIRD WORLD,NOW THAT WE'VE FOUND LOVE {1985},4
25,03/28/1985,26,KING,WON'T YOU HOLD MY HAND NOW,2
26,03/28/1985,27,BRUCE SPRINGSTEEN,DANCING IN THE DARK,25
27,03/28/1985,28,ELAINE PAIGE AND BARBARA DICKSON,I KNOW HIM SO WELL,14
28,03/28/1985,29,THE SMITHS,SHAKESPEARE'S SISTER,1
29,03/28/1985,30,PRINCE AND THE REVOLUTION,LET'S GO CRAZY/TAKE ME WITH U,6
30,03/28/1985,31,THE COOL NOTES,SPEND THE NIGHT,2
31,03/28/1985,32,ASHFORD AND SIMPSON,SOLID,18
32,03/28/1985,33,THE DAMNED,GRIMLY FIENDISH,1
33,03/28/1985,34,PAT BENATAR,LOVE IS A BATTLEFIELD {1985},2
34,03/28/1985,35,SHAKIN' STEVENS,BREAKING UP MY HEART,5
35,03/28/1985,36,STARVATION,STARVATION/TAM-TAM POUR L'ETHIOPE,4
36,03/28/1985,37,DON HENLEY,THE BOYS OF SUMMER,11
37,03/28/1985,38,REO SPEEDWAGON,CAN'T FIGHT THIS FEELING,5
38,03/28/1985,39,BRYAN ADAMS,SOMEBODY,3
39,03/28/1985,40,CHANGE,LET'S GO TOGETHER,3
40,03/28/1985,41,KING,LOVE AND PRIDE {1985},16
41,03/28/1985,42,ZZ TOP,LEGS,6
42,03/28/1985,43,RAH BAND,CLOUDS ACROSS THE MOON,1
43,03/28/1985,44,COCTEAU TWINS,AIKEA-GUINEA,1
44,03/28/1985,45,HOWARD JONES,THINGS CAN ONLY GET BETTER,8
45,03/28/1985,46,EDDY AND THE SOUL BAND,THEME FROM SHAFT,6
46,03/28/1985,47,DARYL HALL AND JOHN OATES,METHOD OF MODERN LOVE,9
47,03/28/1985,48,THE ALARM,ABSOLUTE REALITY,5
48,03/28/1985,49,MEAT LOAF,PIECE OF THE ACTION,2
49,03/28/1985,50,SLADE,MYSTERIOUS MIZSTER JONES,2
50,03/28/1985,51,MATT BIANCO,MORE THAN I CAN BEAR,5
51,03/28/1985,52,CASHMERE,WE NEED LOVE,2
52,03/28/1985,53,THE KANE GANG,GUN LAW,4
53,03/28/1985,54,DAVID ESSEX,FALLING ANGELS RIDING,7
54,03/28/1985,55,ALVIN STARDUST,GOT A LITTLE HEARTACHE,3
55,03/28/1985,56,MAN PARRISH,BOOGIE DOWN (BRONX),2
56,03/28/1985,57,DREAM ACADEMY,LIFE IN A NORTHERN TOWN,2
57,03/28/1985,58,BILLY CONNOLLY,SUPER GRAN,4
58,03/28/1985,59,CHINA CRISIS,BLACK MAN RAY,3
59,03/28/1985,60,GRANDMASTER MELLE MEL AND THE FURIOUS FIVE,PUMP ME UP,3
60,03/28/1985,61,HAZELL DEAN,NO FOOL (FOR LOVE),5
61,03/28/1985,62,HAROLD FALTERMEYER,AXEL F,2
62,03/28/1985,63,BARNBRACK,BELFAST,6
63,03/28/1985,64,CHRIS REA,STAINSBY GIRLS,3
64,03/28/1985,65,KILLING JOKE,LOVE LIKE BLOOD,9
65,03/28/1985,66,BRYAN ADAMS,RUN TO YOU,13
66,03/28/1985,67,KILLING JOKE,KINGS AND QUEENS,1
67,03/28/1985,68,GODLEY AND CREME,CRY,2
68,03/28/1985,69,ERIC CLAPTON,FOREVER MAN,4
69,03/28/1985,70,THE ART OF NOISE,CLOSE (TO THE EDIT),20
70,03/28/1985,71,STRAWBERRY SWITCHBLADE,LET HER GO,2
71,03/28/1985,72,CHICAGO,YOU'RE THE INSPIRATION,10
72,03/28/1985,73,JENNY BURTON,BAD HABITS,4
73,03/28/1985,74,SHARPE AND NUMAN,CHANGE YOUR MIND,8
74,03/28/1985,75,THE COLOUR FIELD,THINKING OF YOU,10
75,03/28/1985,76,THE JESUS AND MARY CHAIN,NEVER UNDERSTAND,5
76,03/28/1985,77,EVERYTHING BUT THE GIRL,WHEN ALL'S WELL,2
77,03/28/1985,78,THE POGUES,PAIR OF BROWN EYES,1
78,03/28/1985,79,SIMON MAY,EASTENDERS,3
79,03/28/1985,80,DEBARGE,RHYTHM OF THE NIGHT,1
80,03/28/1985,81,BOOTHILL FOOT TAPPERS,JEALOUSY,2
81,03/28/1985,82,THE FLYING PICKETS,ONLY THE LONELY,2
82,03/28/1985,83,TEARS FOR FEARS,SHOUT,17
83,03/28/1985,84,THE TEMPTATIONS,MY LOVE IS TRUE (TRULY FOR YOU),2
84,03/28/1985,85,SMILEY CULTURE,COCKNEY TRANSLATION,1
85,03/28/1985,86,THE SMITHS,HOW SOON IS NOW,7
86,03/28/1985,87,RICHARD JON SMITH,THE ABC OF KISSING,1
87,03/28/1985,88,BELOUIS SOME,IMAGINATION,1
88,03/28/1985,89,SAL SOLO,MUSIC AND YOU,1
89,03/28/1985,90,MAGNUM,JUST LIKE AN ARROW,1
90,03/28/1985,91,STEVIE WONDER,I JUST CALLED TO SAY I LOVE YOU,30
91,03/28/1985,92,GARY NUMAN AND THE TUBEWAY ARMY,1978-79 VOLUME 2,2
92,03/28/1985,93,TOY DOLLS,SHE GOES TO FINOS,1
93,03/28/1985,94,NARADA MICHAEL WALDEN AND PATTI AUSTIN,GIMME GIMME GIMME,1
94,03/28/1985,95,CONSORT,MISS MARPLE THEME,2
95,03/28/1985,96,FRANKIE GOES TO HOLLYWOOD,RELAX,60
96,03/28/1985,97,HAYWOODE,ROSES,1
97,03/28/1985,98,FAITH BROTHERS,THE COUNTRY OF THE BLIND,1
98,03/28/1985,99,LEGEAR,CRASHIN' DOWN,1
99,03/28/1985,100,MONOCHROME SET,JACOB'S LADDER,7
0,03/28/1984,1,LIONEL RICHIE,HELLO,4
1,03/28/1984,2,WEATHER GIRLS,IT'S RAINING MEN {1984},10
2,03/28/1984,3,BANANARAMA,ROBERT DE NIRO'S WAITING,5
3,03/28/1984,4,CULTURE CLUB,IT'S A MIRACLE,2
4,03/28/1984,5,PHIL FEARON AND GALAXY,WHAT DO I DO?,4
5,03/28/1984,6,SADE,YOUR LOVE IS KING,7
6,03/28/1984,7,SHAKIN' STEVENS,A LOVE WORTH WAITING FOR,2
7,03/28/1984,8,BREAK MACHINE,STREET DANCE,10
8,03/28/1984,9,DEPECHE MODE,PEOPLE ARE PEOPLE,2
9,03/28/1984,10,KOOL AND THE GANG,JOANNA/TONIGHT,8
10,03/28/1984,11,NENA,99 RED BALLOONS,9
11,03/28/1984,12,NIK KERSHAW,WOULDN'T IT BE GOOD,10
12,03/28/1984,13,THE THOMPSON TWINS,YOU TAKE ME UP,1
13,03/28/1984,14,RICHARD HARTLEY AND THE MICHAEL REED ORCHESTRA,THE MUSIC OF TORVILL AND DEAN (EP),6
14,03/28/1984,15,UB40,CHERRY OH BABY,3
15,03/28/1984,16,VAN HALEN,JUMP,9
16,03/28/1984,17,BILLY JOEL,AN INNOCENT MAN,7
17,03/28/1984,18,MEL BROOKS,TO BE OR NOT TO BE (THE HITLER RAP),8
18,03/28/1984,19,ALEXEI SAYLE,'ULLO JOHN! GOTTA NEW MOTOR?,6
19,03/28/1984,20,MICHAEL JACKSON,P.Y.T. (PRETTY YOUNG THING),1
20,03/28/1984,21,FRANKIE GOES TO HOLLYWOOD,RELAX,21
21,03/28/1984,22,WANG CHUNG,DANCE HALL DAYS,12
22,03/28/1984,23,HOWARD JONES,HIDE AND SEEK,7
23,03/28/1984,24,JULIA AND COMPANY,BREAKIN' DOWN (SUGAR SAMBA),5
24,03/28/1984,25,KAJAGOOGOO,THE LION'S MOUTH,5
25,03/28/1984,26,ROCKWELL,SOMEBODY'S WATCHING ME,9
26,03/28/1984,27,MADONNA,LUCKY STAR,3
27,03/28/1984,28,SIOUXSIE AND THE BANSHEES,SWIMMING HORSES,2
28,03/28/1984,29,THE SPECIAL AKA,NELSON MANDELA,3
29,03/28/1984,30,SIMPLE MINDS,UP ON THE CATWALK,2
30,03/28/1984,31,SHANNON,LET THE MUSIC PLAY,15
31,03/28/1984,32,SLADE,RUN RUNAWAY,9
32,03/28/1984,33,JOHN LENNON,BORROWED TIME,3
33,03/28/1984,34,TRACEY ULLMAN,MY GUY,5
34,03/28/1984,35,HOT CHOCOLATE,I GAVE YOU MY HEART (DIDN'T I),9
35,03/28/1984,36,CAPTAIN SENSIBLE,GLAD IT'S ALL OVER/DAMNED ON 45,2
36,03/28/1984,37,RUFUS AND CHAKA KHAN,AIN'T NOBODY,1
37,03/28/1984,38,SCRITTI POLITTI,WOOD BEEZ (PRAY LIKE ARETHA FRANKLIN),5
38,03/28/1984,39,THE THOMPSON TWINS,DOCTOR DOCTOR,9
39,03/28/1984,40,DEAD OR ALIVE,THAT'S THE WAY (I LIKE IT),3
40,03/28/1984,41,SHALAMAR,DANCING IN THE SHEETS,2
41,03/28/1984,42,CAMEO,SHE'S STRANGE,1
42,03/28/1984,43,PROPAGANDA,DR MABUSE,3
43,03/28/1984,44,CLIFF RICHARD,BABY YOU'RE DYNAMITE,1
44,03/28/1984,45,DENNIS EDWARDS AND SIEDAH GARRETT,DON'T LOOK ANY FURTHER,2
45,03/28/1984,46,RICK SPRINGFIELD,JESSIE'S GIRL,3
46,03/28/1984,47,TINA TURNER,HELP,6
47,03/28/1984,48,J BLACKFOOT,TAXI,4
48,03/28/1984,49,THE BLUEBELLS,I'M FALLING,4
49,03/28/1984,50,MATT BIANCO,GET OUT OF YOUR LAZY BED,9
50,03/28/1984,51,THE STYLE COUNCIL,MY EVER CHANGING MOODS,7
51,03/28/1984,52,QUESTIONS,TUESDAY SUNSHINE,5
52,03/28/1984,53,THE BEATLES,CAN'T BUY ME LOVE {1984},1
53,03/28/1984,54,AFRIKA BAMBAATAA AND THE SOUL SONIC FORCE,THE RENEGADES OF FUNK,4
54,03/28/1984,55,GRANDMASTER FLASH AND MELLE MEL,WHITE LINES (DON'T DO IT),16
55,03/28/1984,56,THE GAP BAND,SOMEDAY,2
56,03/28/1984,57,ROCK GODDESS,I DIDN'T KNOW I LOVED YOU (TILL I SAW YOU ROCK AND ROLL),2
57,03/28/1984,58,MATTHEW WILDER,BREAK MY STRIDE,12
58,03/28/1984,59,CYNDI LAUPER,TIME AFTER TIME,2
59,03/28/1984,60,QUEEN,RADIO GA GA,9
60,03/28/1984,61,WAS (NOT WAS),OUT COME THE FREAKS,6
61,03/28/1984,62,THE PSYCHEDELIC FURS,HEARTBEAT,1
62,03/28/1984,63,WHODINI,THE WHODINI ELECTRO EP,3
63,03/28/1984,64,FRAGGLES,FRAGGLE ROCK THEME,7
64,03/28/1984,65,BILLY IDOL,REBEL YELL,4
65,03/28/1984,66,MADNESS,MICHAEL CAINE,8
66,03/28/1984,67,CYNDI LAUPER,GIRLS JUST WANT TO HAVE FUN,12
67,03/28/1984,68,ICICLE WORKS,BIRDS FLY (WHISPER TO A SCREAM) {1984},4
68,03/28/1984,69,THE ALARM,THE DECEIVER,1
69,03/28/1984,70,SOFT CELL,DOWN IN THE SUBWAY,6
70,03/28/1984,71,ZZ TOP,TV DINNERS,1
71,03/28/1984,72,THOMAS DOLBY,I SCARE MYSELF,1
72,03/28/1984,73,SHALAMAR,DEADLINE USA,1
73,03/28/1984,74,YES,LEAVE IT,2
74,03/28/1984,75,JULIAN COPE,THE GREATNESS AND PERFECTION OF LOVE,3
75,03/28/1984,76,WORLD FAMOUS SUPREME TEAM,HEY DJ,7
76,03/28/1984,77,DANSE SOCIETY,"2,000 LIGHT YEARS FROM HOME",3
77,03/28/1984,78,JULIO IGLESIAS AND WILLIE NELSON,TO ALL THE GIRLS I'VE LOVED BEFORE,2
78,03/28/1984,79,THE SOS BAND,JUST BE GOOD TO ME,1
79,03/28/1984,80,DOLLY PARTON,HERE YOU COME AGAIN,3
80,03/28/1984,81,PARADISE,WE CAN WORK IT OUT,2
81,03/28/1984,82,MICHAEL JACKSON,THRILLER,20
82,03/28/1984,83,DAVID ESSEX,FISHING FOR THE MOON,1
83,03/28/1984,84,CHRIS REA,I DON'T KNOW WHAT IT IS BUT I LOVE IT,4
84,03/28/1984,85,JOE FAGIN,WHY DON'T WE SPEND THE NIGHT,3
85,03/28/1984,86,GEORGE BENSON,LATE AT NIGHT,2
86,03/28/1984,87,BOURGIE BOURGIE,BREAKING POINT,6
87,03/28/1984,88,MALCOLM X AND KEITH LE BLANC,NO SELLOUT,1
88,03/28/1984,89,GARY MOORE,SHAPES OF THINGS,1
89,03/28/1984,90,GENERAL PUBLIC,GENERAL PUBLIC,5
90,03/28/1984,91,DAYTON,THE SOUND OF MUSIC,9
91,03/28/1984,92,BARCLAY JAMES HARVEST,VICTIMS OF CIRCUMSTANCE,1
92,03/28/1984,93,VITAMIN Z,BURNING FLAME,4
93,03/28/1984,94,GERARD KENNY,"THE OTHER WOMAN, THE OTHER MAN",7
94,03/28/1984,95,FICTION FACTORY,GHOST OF LOVE,4
95,03/28/1984,96,NEW ORDER,BLUE MONDAY,50
96,03/28/1984,97,JUDAS PRIEST,SOME HEADS ARE GONNA ROLL,1
97,03/28/1984,98,ONE BLOOD,GET IN TOUCH WITH ME,1
98,03/28/1984,99,GLORIA GAYNOR,STRIVE,1
99,03/28/1984,100,HEAVY PETTIN',LOVE TIMES LOVE,3
0,03/28/1983,1,DURAN DURAN,IS THERE SOMETHING I SHOULD KNOW?,2
1,03/28/1983,2,DAVID BOWIE,LET'S DANCE,2
2,03/28/1983,3,BONNIE TYLER,TOTAL ECLIPSE OF THE HEART,7
3,03/28/1983,4,THE STYLE COUNCIL,SPEAK LIKE A CHILD,3
4,03/28/1983,5,EURYTHMICS,SWEET DREAMS (ARE MADE OF THIS),8
5,03/28/1983,6,JOBOXERS,BOXERBEAT,8
6,03/28/1983,7,ALTERED IMAGES,DON'T TALK TO ME ABOUT LOVE,3
7,03/28/1983,8,ORANGE JUICE,RIP IT UP,7
8,03/28/1983,9,BANANARAMA,NA NA HEY HEY KISS HIM GOODBYE,6
9,03/28/1983,10,FORREST,ROCK THE BOAT,6
10,03/28/1983,11,MICHAEL JACKSON,BILLIE JEAN,10
11,03/28/1983,12,JOAN ARMATRADING,DROP THE PILOT,7
12,03/28/1983,13,BIG COUNTRY,FIELDS OF FIRE (400 MILES),6
13,03/28/1983,14,DAVID JOSEPH,YOU CAN'T HIDE (YOUR LOVE FROM ME),6
14,03/28/1983,15,NICK HEYWARD,WHISTLE DOWN THE WIND,3
15,03/28/1983,16,LEO SAYER,ORCHARD ROAD,5
16,03/28/1983,17,NEW ORDER,BLUE MONDAY,3
17,03/28/1983,18,TRACEY ULLMAN,BREAKAWAY,4
18,03/28/1983,19,MEZZOFORTE,GARDEN PARTY,6
19,03/28/1983,20,KAJAGOOGOO,OOH TO BE AH,1
20,03/28/1983,21,BUCKS FIZZ,RUN FOR YOUR LIFE,4
21,03/28/1983,22,ULTRAVOX,VISIONS IN BLUE,3
22,03/28/1983,23,MODERN ROMANCE,HIGH LIFE,6
23,03/28/1983,24,U2,TWO HEARTS BEAT AS ONE,1
24,03/28/1983,25,BLANCMANGE,WAVES,7
25,03/28/1983,26,BAND A.K.A.,JOY,5
26,03/28/1983,27,KENNY EVERETT,SNOT RAP,2
27,03/28/1983,28,PATTI AUSTIN AND JAMES INGRAM,BABY COME TO ME,9
28,03/28/1983,29,SPANDAU BALLET,COMMUNICATION,8
29,03/28/1983,30,MARI WILSON,CRY ME A RIVER,3
30,03/28/1983,31,PHIL EVERLY AND CLIFF RICHARD,SHE MEANS NOTHING TO ME,7
31,03/28/1983,32,TWISTED SISTER,I AM (I'M ME),2
32,03/28/1983,33,FOSTER &amp; ALLEN,MAGGIE,9
33,03/28/1983,34,THE THOMPSON TWINS,LOVE ON YOUR SIDE,11
34,03/28/1983,35,TOTO,AFRICA,10
35,03/28/1983,36,DEXY'S MIDNIGHT RUNNERS,THE CELTIC SOUL BROTHERS,1
36,03/28/1983,37,WAH!,HOPE (I WISH YOU'D BELIEVE ME),3
37,03/28/1983,38,TRACIE,THE HOUSE THAT JACK BUILT,2
38,03/28/1983,39,F.R. DAVID,WORDS,2
39,03/28/1983,40,SUNFIRE,"YOUNG, FREE AND SINGLE",5
40,03/28/1983,41,MAN PARRISH,HIP HOP BE BOP (DON'T STOP),2
41,03/28/1983,42,KAJAGOOGOO,TOO SHY,11
42,03/28/1983,43,MADNESS,TOMORROW'S (JUST ANOTHER DAY)/MADNESS IS ALL IN THE MIND,7
43,03/28/1983,44,KISSING THE PINK,LAST FILM,7
44,03/28/1983,45,PHIL COLLINS,DON'T LET HIM STEAL YOUR HEART AWAY,3
45,03/28/1983,46,MUSICAL YOUTH,NEVER GONNA GIVE YOU UP,8
46,03/28/1983,47,EDDY GRANT,LIVING ON THE FRONT LINE {1983},3
47,03/28/1983,48,ICEHOUSE,HEY LITTLE GIRL,10
48,03/28/1983,49,THE TEARDROP EXPLODES,YOU DISAPPEAR FROM VIEW,3
49,03/28/1983,50,THE FUN BOY THREE,THE TUNNEL OF LOVE,9
50,03/28/1983,51,CHILL FAC-TORR,TWIST (ROUND AND ROUND),1
51,03/28/1983,52,THE BARRON KNIGHTS,BUFFALO BILL'S LAST SCRATCH,4
52,03/28/1983,53,JOE COCKER AND JENNIFER WARNES,UP WHERE WE BELONG,12
53,03/28/1983,54,BOW WOW WOW,DO YOU WANNA HOLD ME?,5
54,03/28/1983,55,ORCHESTRAL MANOEUVRES IN THE DARK,GENETIC ENGINEERING,7
55,03/28/1983,56,JAPAN,ALL TOMORROW'S PARTIES,4
56,03/28/1983,57,TALK TALK,MY FOOLISH FRIEND,3
57,03/28/1983,58,PETER TOSH,JOHNNY B GOODE,2
58,03/28/1983,59,MAXINE SINGLETON,YOU CAN'T RUN FROM LOVE,3
59,03/28/1983,60,DAVE EDMUNDS,SLIPPING AWAY,3
60,03/28/1983,61,TEARS FOR FEARS,CHANGE,9
61,03/28/1983,62,DEPECHE MODE,GET THE BALANCE RIGHT,8
62,03/28/1983,63,JAZZY DEE,GET ON UP,6
63,03/28/1983,64,WALL OF VOODOO,MEXICAN RADIO,5
64,03/28/1983,65,CHAS AND DAVE,LONDON GIRLS,7
65,03/28/1983,66,STEVE HACKETT,CELL 151,1
66,03/28/1983,67,SECOND IMAGE,BETTER TAKE TIME,2
67,03/28/1983,68,SET THE TONE,RAP YOUR LOVE,3
68,03/28/1983,69,JOE JACKSON,BREAKING US IN TWO,4
69,03/28/1983,70,UFO,WHEN IT'S TIME TO ROCK,4
70,03/28/1983,71,LAUREL AND HARDY,CLUNK CLICK (BELT UP DUB),2
71,03/28/1983,72,ROBERT PALMER,YOU ARE IN MY SYSTEM,2
72,03/28/1983,73,ROMAN HOLLIDAY,STAND BY,4
73,03/28/1983,74,FASTWAY,EASY LIVIN',2
74,03/28/1983,75,JIMMY ROSELLI,WHEN YOUR OLD WEDDING RING WAS NEW,6
75,03/28/1983,76,GRACE JONES,MY JAMAICAN GUY,1
76,03/28/1983,77,FARMERS BOYS,MUCK IT OUT,1
77,03/28/1983,78,TOTO,ROSANNA,1
78,03/28/1983,79,JULIO IGLESIAS,HEY!,1
79,03/28/1983,80,MAISONETTES,WHERE I STAND,2
80,03/28/1983,81,ANN BREEN,PAL OF MY CRADLE DAYS,7
81,03/28/1983,82,THE DAMNED,WHITE RABBIT,2
82,03/28/1983,83,AFTER THE FIRE,DER KOMISSAR,1
83,03/28/1983,84,KASHIF,I JUST GOTTA HAVE YOU,4
84,03/28/1983,85,CHRIS REA,LET IT LOOSE,3
85,03/28/1983,86,AMAZULU,CAIRO,2
86,03/28/1983,87,THE WHISPERS,THIS TIME,3
87,03/28/1983,88,SWEET DREAMS,I'M NEVER GIVING UP,1
88,03/28/1983,89,CHINA CRISIS,CHRISTIAN,11
89,03/28/1983,90,MARILLION,MARKET SQUARE HEROES {1983},3
90,03/28/1983,91,DAVID BELLAMY,BRONTOSAURUS WILL YOU WAIT FOR ME,1
91,03/28/1983,92,STEVE SHELTO,DON'T YOU GIVE YOUR LOVE AWAY,1
92,03/28/1983,93,LOUISE TUCKER,MIDNIGHT BLUE,1
93,03/28/1983,94,VIA MARCONI,SERIOUS DANCING,1
94,03/28/1983,95,THE KIDS FROM 'FAME',FRIDAY NIGHT (LIVE VERSION),4
95,03/28/1983,96,MIDNITE,PARADISE DRIVE,3
96,03/28/1983,97,GARY NUMAN AND THE TUBEWAY ARMY,THAT'S TOO BAD,1
97,03/28/1983,98,VICIOUS PINK PHENOMENA,JE T'AIME (MOI NON PLUS),2
98,03/28/1983,99,CASHMERE,DO IT ANYWAY YOU WANNA,1
99,03/28/1983,100,LORITA GRAHAME,YOUNG FREE AND SINGLE,1
0,03/28/1982,1,GOOMBAY DANCE BAND,SEVEN TEARS,6
1,03/28/1982,2,IMAGINATION,JUST AN ILLUSION,5
2,03/28/1982,3,JULIO IGLESIAS,QUIEREME MUCHO (YOURS),5
3,03/28/1982,4,DEREK AND THE DOMINOES,LAYLA {1982},5
4,03/28/1982,5,BUCKS FIZZ,MY CAMERA NEVER LIES,2
5,03/28/1982,6,TIGHT FIT,THE LION SLEEPS TONIGHT,11
6,03/28/1982,7,CHAS AND DAVE,AIN'T NO PLEASING YOU,4
7,03/28/1982,8,ABC,POISON ARROW,7
8,03/28/1982,9,JAPAN,GHOSTS,3
9,03/28/1982,10,ASSOCIATES,PARTY FEARS TWO,7
10,03/28/1982,11,VISAGE,THE DAMNED DON'T CRY,4
11,03/28/1982,12,ADRIAN GURVITZ,CLASSIC,10
12,03/28/1982,13,TONI BASIL,MICKEY,9
13,03/28/1982,14,LEO SAYER,HAVE YOU EVER BEEN IN LOVE,4
14,03/28/1982,15,DOLLAR,GIVE ME BACK MY HEART,2
15,03/28/1982,16,CLASSIX NOUVEAUX,IS IT A DREAM,4
16,03/28/1982,17,ALTERED IMAGES,SEE THOSE EYES,2
17,03/28/1982,18,ROXY MUSIC,MORE THAN THIS,1
18,03/28/1982,19,PLUTO,YOUR HONOUR,5
19,03/28/1982,20,BOW WOW WOW,GO WILD IN THE COUNTRY,10
20,03/28/1982,21,THE NOLANS,DON'T LOVE ME TOO HARD,7
21,03/28/1982,22,FUN BOY THREE AND BANANARAMA,IT AINT WHAT YOU DO IT'S THE WAY THAT YOU DO IT,8
22,03/28/1982,23,HAIRCUT 100,LOVE PLUS ONE,10
23,03/28/1982,24,FOSTER &amp; ALLEN,A BUNCH OF THYME,6
24,03/28/1982,25,STATUS QUO,DEAR JOHN,2
25,03/28/1982,26,GARY NUMAN,MUSIC FOR CHAMELEONS,5
26,03/28/1982,27,DEPECHE MODE,SEE YOU,8
